Reading xml
not well-formed (invalid token): line 1, column 0
syntax error: line 1, column 0
12700000 records processed.   @2013-03-13T11:26:21.547
12800000 records processed.   @2013-03-19T20:12:21.777
12900000 records processed.   @2013-03-26T11:11:17.183
13000000 records processed.   @2013-04-02T11:01:44.750
13100000 records processed.   @2013-04-08T20:33:58.733
13200000 records processed.   @2013-04-15T11:54:38.437
13300000 records processed.   @2013-04-22T04:19:17.673
13400000 records processed.   @2013-04-28T15:28:48.890
13500000 records processed.   @2013-05-05T22:05:23.673
13600000 records processed.   @2013-05-13T05:04:23.297
13700000 records processed.   @2013-05-19T22:53:16.243
13800000 records processed.   @2013-05-27T02:20:59.250
13900000 records processed.   @2013-06-03T05:29:42.347
14000000 records processed.   @2013-06-10T02:11:31.473
14100000 records processed.   @2013-06-17T07:38:52.520
14200000 records processed.   @2013-06-24T04:40:31.907
14300000 records processed.   @2013-06-30T19:12:17.043
14400000 records processed.   @2013-07-08T05:28:36.320
14500000 records processed.   @2013-07-15T00:20:50.257
14600000 records processed.   @2013-07-21T08:43:29.493
14700000 records processed.   @2013-07-27T06:50:38.270
14800000 records processed.   @2013-08-02T14:24:26.657
14900000 records processed.   @2013-08-09T09:45:16.133
15000000 records processed.   @2013-08-16T07:44:20.597
15100000 records processed.   @2013-08-23T01:58:16.130
15200000 records processed.   @2013-08-29T18:54:02.240
15300000 records processed.   @2013-09-05T19:48:42.107
15400000 records processed.   @2013-09-12T16:49:50.487
15500000 records processed.   @2013-09-19T12:52:59.770
15600000 records processed.   @2013-09-26T05:57:32.447
15700000 records processed.   @2013-10-02T20:22:54.253
15800000 records processed.   @2013-10-09T12:00:39.997
15900000 records processed.   @2013-10-16T06:36:39.180
16000000 records processed.   @2013-10-22T15:27:17.103
16100000 records processed.   @2013-10-28T23:59:03.137
16200000 records processed.   @2013-11-04T17:22:34.647
16300000 records processed.   @2013-11-11T07:13:34.747
16400000 records processed.   @2013-11-17T01:22:45.373
16500000 records processed.   @2013-11-22T18:31:56.540
16600000 records processed.   @2013-11-29T08:41:42.180
16700000 records processed.   @2013-12-05T18:29:02.970
16800000 records processed.   @2013-12-12T01:06:25.813
16900000 records processed.   @2013-12-18T13:13:25.060
17000000 records processed.   @2013-12-26T13:44:19.760
17100000 records processed.   @2014-01-03T20:11:20.080
17200000 records processed.   @2014-01-10T06:02:16.280
17300000 records processed.   @2014-01-16T12:46:41.443
17400000 records processed.   @2014-01-22T16:15:21.447
17500000 records processed.   @2014-01-28T17:57:34.430
17600000 records processed.   @2014-02-03T21:32:56.637
17700000 records processed.   @2014-02-09T20:21:00.723
17800000 records processed.   @2014-02-14T21:21:32.277
17900000 records processed.   @2014-02-20T17:24:04.420
18000000 records processed.   @2014-02-26T12:08:57.197
18100000 records processed.   @2014-03-04T07:52:16.490
18200000 records processed.   @2014-03-10T01:08:55.880
18300000 records processed.   @2014-03-14T20:23:53.817
18400000 records processed.   @2014-03-20T17:27:24.640
18500000 records processed.   @2014-03-26T15:59:43.510
18600000 records processed.   @2014-04-01T16:53:42.903
18700000 records processed.   @2014-04-07T16:11:40.030
18800000 records processed.   @2014-04-13T13:36:13.693
18900000 records processed.   @2014-04-19T13:36:16.500
19000000 records processed.   @2014-04-25T15:25:23.623
19100000 records processed.   @2014-05-02T09:26:18.777
19200000 records processed.   @2014-05-08T22:08:16.657
19300000 records processed.   @2014-05-15T15:10:21.453
19400000 records processed.   @2014-05-22T16:27:59.547
19500000 records processed.   @2014-05-29T19:49:03.607
19600000 records processed.   @2014-06-06T00:20:23.280
19700000 records processed.   @2014-06-13T09:22:19.210
19800000 records processed.   @2014-06-20T16:06:53.610
19900000 records processed.   @2014-06-27T21:21:37.810
